Video Title,Views,Watch Time (Mins),Subscribers,Revenue ($),Likes
Video_1,16200,40000,13,48.6,1420
Video_2,19000,46000,18,57.0,1680
Video_3,21000,50500,21,63.0,1820
Video_4,9800,23500,9,29.4,750
Video_5,11500,27500,10,34.5,900
Video_6,18000,43500,16,54.5,1600
Video_7,22500,55000,22,68.0,2000
Video_8,13800,33000,11,41.0,1080
Video_9,15800,38200,13,47.5,1290
Video_10,20000,47500,19,60.0,1740
Video_11,14500,34500,12,42.8,1140
Video_12,17000,41000,14,50.0,1400
Video_13,21200,51500,21,64.0,1830
Video_14,10000,24000,9,30.0,770
Video_15,12800,30500,10,37.5,960
Video_16,19200,46000,18,57.5,1670
Video_17,20500,49500,20,61.5,1770
Video_18,15600,37500,13,46.8,1270
Video_19,13500,32000,11,39.5,1040
Video_20,22200,54500,22,67.5,1970
Video_21,15000,35500,12,43.5,1160
Video_22,17800,43000,15,53.5,1560
Video_23,20800,50500,20,62.5,1800
Video_24,10200,24500,9,30.5,780
Video_25,12000,29000,10,36.0,920
Video_26,18500,44500,17,55.5,1630
Video_27,19800,47500,19,59.8,1720
Video_28,14200,34000,12,42.5,1110
Video_29,16200,39500,14,48.5,1330
Video_30,21800,52500,21,65.5,1860
