Video Title,Views,Watch Time (Mins),Subscribers,Revenue ($),Likes
Video_1,15234,38450,12,45.6,1340
Video_2,18765,45210,18,56.2,1650
Video_3,20450,49800,20,61.5,1780
Video_4,9450,22500,8,28.3,720
Video_5,11230,26800,10,33.6,890
Video_6,17890,43200,16,54.1,1590
Video_7,22340,54500,22,67.8,1980
Video_8,13450,32500,11,40.2,1050
Video_9,15670,37800,13,46.9,1280
Video_10,19800,47000,19,59.4,1720
Video_11,14200,34000,12,41.5,1120
Video_12,16780,40500,14,49.8,1390
Video_13,21000,51000,21,64.2,1820
Video_14,9800,23500,9,29.1,750
Video_15,12560,30000,10,37.2,940
Video_16,18900,45500,18,56.7,1660
Video_17,20120,49000,20,61.0,1760
Video_18,15400,37200,13,46.1,1260
Video_19,13200,31500,11,39.0,1020
Video_20,22000,54000,22,67.2,1960
Video_21,14700,35000,12,42.7,1150
Video_22,17500,42500,15,53.0,1550
Video_23,20500,50000,20,62.0,1790
Video_24,9900,23800,9,29.4,760
Video_25,11800,28500,10,35.2,910
Video_26,18200,44000,17,55.0,1620
Video_27,19500,47000,19,59.5,1710
Video_28,14000,33500,12,41.0,1100
Video_29,16000,39000,14,48.0,1320
Video_30,21500,52000,21,65.0,1850
