Video Title,Views,Watch Time (Mins),Subscribers,Revenue ($),Likes
Video_1,16500,40500,13,49.5,1430
Video_2,19200,46500,18,57.6,1690
Video_3,21400,51500,21,64.2,1840
Video_4,10200,24500,9,30.6,780
Video_5,11800,28200,10,35.4,930
Video_6,18300,44000,16,55.0,1610
Video_7,22800,55500,22,68.4,2020
Video_8,14000,33500,11,42.0,1090
Video_9,16000,38500,13,48.0,1300
Video_10,20300,48000,19,60.9,1750
Video_11,14700,35000,12,44.1,1170
Video_12,17200,41500,14,51.6,1410
Video_13,21500,52000,21,65.0,1850
Video_14,10400,25000,9,31.2,790
Video_15,13000,31000,10,37.8,970
Video_16,19500,46500,18,58.5,1680
Video_17,20800,50000,20,62.4,1780
Video_18,15800,38000,13,47.4,1280
Video_19,13700,32500,11,40.8,1050
Video_20,22500,55000,22,67.5,1980
Video_21,15200,36000,12,45.6,1180
Video_22,18000,43500,15,54.0,1570
Video_23,21000,51000,20,63.0,1810
Video_24,10600,25500,9,31.8,800
Video_25,12200,29500,10,36.6,940
Video_26,18700,45000,17,56.1,1640
Video_27,20000,48000,19,60.0,1730
Video_28,14400,34500,12,43.2,1120
Video_29,16400,40000,14,49.2,1340
Video_30,22000,53000,21,66.0,1870
